SKUPINA;Kat_st;Jama-ime;Jama-tip;Ndm_vis;Globina;Dolžina;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000;T (povpr.letna) 81-2000;Količina padavin (kor.povpr.letna) 81-2000;Chol_STEVILO;Chol1_mm;Chol2_mm;Chol3_mm;Chol4_mm;Chol5_mm;Chol6_mm;Cara_STEVILO;Cara1_mm;Cara2_mm;Cara3_mm;Cara4_mm;Cara5_mm;;;;T (povpr.letna) 71-2000;Količina padavin (kor.povpr.letna) 71-2000
A1;1;Zlatica;4,3 - jama z občasnim tokom;1525;10;95;2-4;2600-3200;2-4;2600-3200;2;2,5;2,88;;;;;2;5,1;6,2;;;;;;;izpolniva V in B;izpolniva V in B
A1;3;Kevderca na Lubniku;5,2 - vodoravna jama;780;37;360;6-8;1800-2000;6-8;1600-1800;1;3,05;;;;;;3;6,6;5,75;3,5;;;;;;izpolniva V in B;izpolniva V in B
A1;4;Lubniška jama;5,2 - vodoravna jama;780;8;60;6-8;1800-2000;6-8;1600-1800;1;3,05;;;;;;2;6,6;5,75;;;;;;;izpolniva V in B;izpolniva V in B
A1;5;Migutovo brezno;5,2 - vodoravna jama;451;28;112;8-10;1600-1800;8-10;1600-1800;1;3,05;;;;;;1;5,55;;;;;;;;izpolniva V in B;izpolniva V in B
A1;6;Marijino brezno;4,2 - jama s stalnim tokom;423;58;450;8-10;1600-1800;8-10;1600-1800;1;3,05;;;;;;1;5,55;;;;;;;;izpolniva V in B;izpolniva V in B
A1;10;Košelevka;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;642;42;130;8-10;1800-2000;8-10;1600-1800;2;1,58;1,77;;;;;2;6,5;7,5;;;;;;;izpolniva V in B;izpolniva V in B
A1;12;Željnske Jame;2,1 - jama stalni ponor;475;12;1600;8-10;1500-1600;8-10;1500-1600;2;1,76;2,97;;;;;0;;;;;;;;;izpolniva V in B;izpolniva V in B
A1;17;Podpeška jama;4,2 - jama s stalnim tokom;435;20;4390;8-10;1400-1500;8-10;1500-1600;0;;;;;;;1;7,05;;;;;;;;izpolniva V in B;izpolniva V in B
A1;22;Zakrita jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;650;12;47;8-10;1800-2000;8-10;1600-1800;1;1,77;;;;;;1;7,5;;;;;;;;itd;itd
A1;25;Kompoljska jama;1,3 - jama občasni izvir ob stalnem toku;425;15;525;8-10;1400-1500;8-10;1400-1500;0;;;;;;;1;7,05;;;;;;;;;
A1;26;Jelenska jama;1,1 - jama stalni izvir;362;0;40;8-10;1600-1800;8-10;1500-1600;2;2,45;2,97;;;;;2;5,55;7,5;;;;;;;;
A1;27;Županova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;468;70;710;8-10;1400-1500;8-10;1500-1600;1;7;;;;;;0;;;;;;;;;;
A1;28;Logarček;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;498;120;4888;8-10;1800-2000;8-10;1600-1800;1;1,58;;;;;;3;5,5;5,8;7,5;;;;;;;
A1;32;Tonikovo brezno;5,1 - spodmol, kevderc;399;22;51;8-10;1600-1800;8-10;1600-1800;0;;;;;;;1;7,5;;;;;;;;;
A1;33;Ledenica pod Taborom;6,2 - jama z občasnim ledom;442;26;102;8-10;1400-1500;8-10;1500-1600;2;2,03;7;;;;;0;;;;;;;;;;
A1;35;Babja luknja;1,1 - jama stalni izvir;330;18;310;8-10;1500-1600;8-10;1500-1600;1;2,93;;;;;;0;;;;;;;;;;
A1;40;Lohančevo brezno;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;643;36;64;8-10;1800-2000;8-10;1600-1800;0;;;;;;;1;7,5;;;;;;;;;
A1;41;Turkova jama;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;640;80;900;8-10;1800-2000;8-10;1600-1800;2;;;;;;;2;5,3;7,5;;;;;;;;
A1;44;Jama v Bukovju;5,3 - brezno z jamo, jama z breznom, poševna jama, jama z etažami in brezni/več etažna jama;444;15;29;8-10;1500-1600;8-10;1500-1600;1;2,97;;;;;;3;5,55;6;6,6;;;;;;;
A1;45;Tkavčja jama;5,2 - vodoravna jama;435;9;110;8-10;1400-1500;8-10;1400-1500;1;1,76;;;;;;1;7,05;;;;;;;;;
A1;46;Ihanšica;5,2 - vodoravna jama;416;7;56;8-10;1300-1400;8-10;1300-1400;2;2,97;2,5;;;;;1;5,2;;;;;;;;;
A1;52;Mačkovica;5,2 - vodoravna jama;479;45;807;8-10;1800-2000;8-10;1600-1800;3;1,58;1,86;2,97;;;;3;5,50;5,80;7,50;;;;;;;
A1;53;Skedenca nad Rajnturnom;5,2 - vodoravna jama;535;8;109;8-10;1400-1500;8-10;1500-1600;1;7,00;;;;;;0;;;;;;;;;;
A1;54;Potiskavška jama;1,3 - jama občasni izvir ob stalnem toku;420;10;340;8-10;1500-1600;8-10;1400-1500;0;;;;;;;1;5,45;;;;;;;;;
A1;65;Križna jama;4,2 - jama s stalnim tokom;629;32;8273;6-8;1600-1800;6-8;1600-1800;3;1,84;2,45;2,97;;;;2;5,75;7,25;;;;;;;;
A1;67;Trhlovca;5,2 - vodoravna jama;432;33;186;10-12;1500-1600;10-12;1500-1600;1;2,25;;;;;;0;;;;;;;;;;
A1;69;Matjaževa jama;5,2 - vodoravna jama;398;11;30;8-10;1400-1500;8-10;1400-1500;1;2,88;;;;;;0;;;;;;;;;;
A1;70;Bidovčeva luknja;5,5 - stopnjasto brezno, poševno brezno;575;21;21;8-10;1600-1800;8-10;1500-1600;1;3,39;;;;;;2;5,70;5,85;;;;;;;;
A1;72;Vratnica;2,1 - jama stalni ponor;538;15;658;8-10;1500-1600;8-10;1500-1600;1;1,76;;;;;;1;6,05;;;;;;;;;
